source_file,source_section,source_line_or_heading,required_style,category,country,region,appellation_or_style,grape_or_blend,requirement_level,notes
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1750,Soave o Soave Classico,blanco,Italy,Veneto,Soave / Soave Classico,Garganega,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1752,Rioja Reserva o Gran Reserva,tinto,Spain,Rioja,Rioja DOCa,Tempranillo blend,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1753,Ribera del Duero,tinto,Spain,Ribera del Duero,Ribera del Duero DO,Tempranillo,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1754,Priorat,tinto,Spain,Priorat,Priorat DOCa,Garnacha / Cariñena,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1756,Rías Baixas o Rueda,blanco,Spain,Rías Baixas / Rueda,Rías Baixas DO / Rueda DO,Albariño / Verdejo,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1758,Monastrell (p. ej. Jumilla),tinto,Spain,Levante,Jumilla / Yecla,Monastrell,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1760,"Douro, Dão o Alentejo tinto",tinto,Portugal,Douro / Dão / Alentejo,Douro DOC / Dão DOC / Alentejo,Touriga Nacional / Tinta Roriz / blends,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1762-1763,California Cabernet Sauvignon o Merlot premium,tinto,USA,California,Napa / Sonoma,Cabernet Sauvignon / Merlot,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1764,California Zinfandel,tinto,USA,California,Dry Creek Valley / Lodi,Zinfandel,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1766-1767,California Chardonnay premium,blanco,USA,California,Sonoma / Santa Barbara / coastal AVAs,Chardonnay,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1769,Willamette Valley Pinot Noir,tinto,USA,Oregon,Willamette Valley,Pinot Noir,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1770-1771,California Pinot Noir premium,tinto,USA,California,Sonoma / Santa Barbara,Pinot Noir,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1775,White Zinfandel,rosado,USA,California,California,Zinfandel,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1779,Icewine,dulce,Canada,Ontario / British Columbia,Niagara Peninsula / Okanagan Valley,Vidal / Riesling,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1799,Chile Carmenère premium,tinto,Chile,Cachapoal / Colchagua,Cachapoal / Colchagua,Carmenère,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1801,Chile tinto económico de volumen,tinto,Chile,Central Valley,Central Valley,Cabernet Sauvignon / Merlot / Carmenère / Syrah,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1802-1803,Chile Cabernet Sauvignon premium,tinto,Chile,Maipo / Cachapoal / Colchagua,Maipo / Cachapoal / Colchagua,Cabernet Sauvignon,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1805,Chile Chardonnay o Sauvignon Blanc,blanco,Chile,Casablanca / San Antonio,Casablanca / San Antonio,Chardonnay / Sauvignon Blanc,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1807,Argentina Malbec de precio medio,tinto,Argentina,Mendoza,Mendoza,Malbec,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1809,Argentina Torrontés premium,blanco,Argentina,Salta,Cafayate,Torrontés,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1811,Argentina Cabernet Sauvignon o mezcla premium,tinto,Argentina,Mendoza,Mendoza / Uco / Luján de Cuyo,Cabernet Sauvignon / Bordeaux blend,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1812,Argentina Malbec premium,tinto,Argentina,Uco / Luján de Cuyo,Valle de Uco / Luján de Cuyo,Malbec,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1814,South Africa Pinotage premium,tinto,South Africa,Western Cape,Stellenbosch / Paarl / Swartland,Pinotage,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1816,South Africa Chenin Blanc con roble premium,blanco,South Africa,Western Cape,Swartland,Chenin Blanc,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1818,South Africa Cabernet Sauvignon premium,tinto,South Africa,Western Cape,Stellenbosch,Cabernet Sauvignon,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1822,Marca económica tinto/blanco de volumen,blanco/tinto,South Africa,Western Cape,Western Cape,varias,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1845,Australia Shiraz premium,tinto,Australia,South Australia,Barossa / McLaren Vale,Shiraz,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1846-1847,Australia Cabernet Sauvignon o mezcla Cabernet premium,tinto,Australia,Coonawarra / Margaret River,Coonawarra / Margaret River,Cabernet Sauvignon / blend,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1848,Australia Grenache o mezcla Grenache premium,tinto,Australia,McLaren Vale,McLaren Vale,Grenache,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1850,Eden Valley o Clare Valley Riesling,blanco,Australia,Eden Valley / Clare Valley,Eden Valley / Clare Valley,Riesling,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1851,Hunter Valley Semillon,blanco,Australia,Hunter Valley,Hunter Valley GI,Semillon,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1852-1853,Australia Chardonnay premium,blanco,Australia,Yarra / Mornington / Tasmania,Yarra Valley / Mornington Peninsula / Tasmania,Chardonnay,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1855,Australia Shiraz de otro estilo o nivel,tinto,Australia,Australia,Barossa / McLaren Vale / otros,Shiraz,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1856-1857,Australia Pinot Noir premium,tinto,Australia,Yarra / Mornington / Tasmania,Yarra Valley / Mornington Peninsula / Tasmania,Pinot Noir,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1872,New Zealand Pinot Noir,tinto,New Zealand,Central Otago / Martinborough / Marlborough,regional GI,Pinot Noir,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1874,New Zealand Sauvignon Blanc premium,blanco,New Zealand,Marlborough,Marlborough GI,Sauvignon Blanc,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1876-1877,Hawke’s Bay tinto estilo Burdeos o Syrah,tinto,New Zealand,Hawke’s Bay,Hawke’s Bay GI,Bordeaux blend / Syrah,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1879,New Zealand Chardonnay premium,blanco,New Zealand,Marlborough / Gisborne,Marlborough / Gisborne,Chardonnay,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1880,New Zealand Sauvignon Blanc con roble,blanco,New Zealand,Marlborough,Marlborough GI,Sauvignon Blanc,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1887,Vino naranja de cualquier país/región,fuera_de_alcance,Any,Any,Any,varias,Opcional,Categoria listada por especificacion; fuera de las categorias solicitadas en CWP-AUDIT-01.
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1909,Champagne non-vintage,espumoso,France,Champagne,Champagne,Chardonnay / Pinot Noir / Meunier,Imprescindible,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1911,Champagne vintage o prestige cuvée,espumoso,France,Champagne,Champagne,Chardonnay / Pinot Noir / Meunier,Opcional,
C:\Dev\WSET-AI-System-push\knowledge\official-wset\specification\wset_l3wines_specification_es_highres_aug2023_issue201.md,"Recomendaciones de Vinos para Catar, lineas 1501-1951",1913,Crémant,espumoso,France,Alsace / Burgundy / Loire,Crémant d’Alsace / Bourgogne / Loire,varias,Opcional,
